
    PO_StorageStatus(iTime,iStorageStatus) := data table 
                       Generation      Charge   Discharge
'2015-07-02 04:15:00'    3605.811    1211.779            
'2015-07-02 04:30:00'    3582.316    1196.767            
'2015-07-02 04:45:00'    3807.701     908.534            
'2015-07-02 05:00:00'    3846.679     841.321            
'2015-07-02 05:15:00'    3857.167     852.339            
'2015-07-02 05:30:00'    4141.776     480.028            
'2015-07-02 05:45:00'    4167.084     410.750            
'2015-07-02 06:00:00'    4260.937     330.063            
'2015-07-02 06:15:00'    4319.873                 104.794
'2015-07-02 06:30:00'    3984.964                 679.449
'2015-07-02 06:45:00'    3664.231                1156.875
'2015-07-02 07:00:00'    3338.000                1692.273
'2015-07-02 07:15:00'    3203.091                2010.023
'2015-07-02 07:30:00'    2991.160                2475.129
'2015-07-02 07:45:00'    2888.439                2566.580
'2015-07-02 08:00:00'    2670.500                2951.570
'2015-07-02 08:15:00'    2871.775                2699.600
'2015-07-02 08:30:00'    2962.991                2768.430
'2015-07-02 08:45:00'    3233.245                2529.530
'2015-07-02 09:00:00'    3323.500                2535.288
'2015-07-02 09:15:00'    3289.145                2696.541
'2015-07-02 09:30:00'    3237.171                2755.029
'2015-07-02 09:45:00'    3103.198                2676.511
'2015-07-02 10:00:00'    3074.500                2843.468
'2015-07-02 10:15:00'    3367.684                2597.305
'2015-07-02 10:30:00'    3563.237                2264.120
'2015-07-02 10:45:00'    3681.321                2115.460
'2015-07-02 11:00:00'    3945.500                1913.288
'2015-07-02 11:15:00'    4025.883                1803.703
'2015-07-02 11:30:00'    4036.089                1811.526
'2015-07-02 11:45:00'    3965.310                1756.898
'2015-07-02 12:00:00'    4054.000                1449.710
'2015-07-02 12:15:00'    4050.941                1375.220
'2015-07-02 12:30:00'    4076.710                1509.566
'2015-07-02 12:45:00'    3927.651                1582.998
'2015-07-02 13:00:00'    4054.000                1390.531
'2015-07-02 13:15:00'    3957.672                1470.008
'2015-07-02 13:30:00'    4041.584                1534.011
'2015-07-02 13:45:00'    3951.723                1450.189
'2015-07-02 14:00:00'    3897.000                1429.171
'2015-07-02 14:15:00'    3820.298                1393.157
'2015-07-02 14:30:00'    3714.082                1408.458
'2015-07-02 14:45:00'    3677.439                1570.376
'2015-07-02 15:00:00'    3597.000                1610.812
'2015-07-02 15:15:00'    3557.095                1608.103
'2015-07-02 15:30:00'    3384.827                1922.468
'2015-07-02 15:45:00'    3384.003                1851.012
'2015-07-02 16:00:00'    3274.500                2051.671
'2015-07-02 16:15:00'    3221.918                2164.523
'2015-07-02 16:30:00'    3261.534                2021.457
'2015-07-02 16:45:00'    3289.890                2208.294
'2015-07-02 17:00:00'    3318.500                2126.031
'2015-07-02 17:15:00'    3398.367                2202.656
'2015-07-02 17:30:00'    3382.368                2119.202
'2015-07-02 17:45:00'    3480.003                2167.336
'2015-07-02 18:00:00'    3570.000                2111.249
'2015-07-02 18:15:00'    3821.044                1815.929
'2015-07-02 18:30:00'    4071.042                1653.273
'2015-07-02 18:45:00'    4084.690                1655.765
'2015-07-02 19:00:00'    4478.500                1321.109
'2015-07-02 19:15:00'    4934.797                1008.018
'2015-07-02 19:30:00'    5375.612                 522.517
'2015-07-02 19:45:00'    5718.036     122.118            
'2015-07-02 20:00:00'    5681.249     366.751            
'2015-07-02 20:15:00'    5570.041     358.261            
'2015-07-02 20:30:00'    5669.350     184.129            
'2015-07-02 20:45:00'    5443.644     461.875            
'2015-07-02 21:00:00'    5326.171     427.829            
'2015-07-02 21:15:00'    5105.514     929.812            
'2015-07-02 21:30:00'    5141.191     958.493            
'2015-07-02 21:45:00'    4918.456    1305.757            
'2015-07-02 22:00:00'    4734.374    1565.626            
'2015-07-02 22:15:00'    4602.410    1987.425            
'2015-07-02 22:30:00'    4322.956    2370.276            
'2015-07-02 22:45:00'    4201.489    2595.008            
'2015-07-02 23:00:00'    4142.578    2721.422            
'2015-07-02 23:15:00'    4121.978    2661.146            
'2015-07-02 23:30:00'    3864.078    2771.840            
'2015-07-02 23:45:00'    3755.944    2552.066            
'2015-07-03 00:00:00'    3650.647    2499.353            
'2015-07-03 00:15:00'    3690.855    2091.973            
'2015-07-03 00:30:00'    3627.806    1909.246            
'2015-07-03 00:45:00'    3433.951    1614.052            
'2015-07-03 01:00:00'    3592.700    1023.300            
'2015-07-03 01:15:00'    3645.079     735.480            
'2015-07-03 01:30:00'    3577.479     802.022            
'2015-07-03 01:45:00'    3543.143     592.682            
'2015-07-03 02:00:00'    3476.806     589.194            
'2015-07-03 02:15:00'    3469.334     699.108            
'2015-07-03 02:30:00'    3404.274     924.363            
'2015-07-03 02:45:00'    3348.244    1191.369            
'2015-07-03 03:00:00'    3360.913    1189.087            
'2015-07-03 03:15:00'    3245.708    1194.138            
'2015-07-03 03:30:00'    3432.032     675.634            
'2015-07-03 03:45:00'    3364.368     488.079            
'2015-07-03 04:00:00'    3418.859     245.141            
'2015-07-03 04:15:00'    3553.880     316.833            
'2015-07-03 04:30:00'    3572.976     328.697            
'2015-07-03 04:45:00'    3675.449     381.600            
'2015-07-03 05:00:00'    3766.540     303.460            
'2015-07-03 05:15:00'    3748.715     298.441            
'2015-07-03 05:30:00'    3935.084     247.557            
'2015-07-03 05:45:00'    4118.729      62.676            
'2015-07-03 06:00:00'    4171.000                   1.167
'2015-07-03 06:15:00'    3761.438                 625.488
'2015-07-03 06:30:00'    3279.147                1185.594
'2015-07-03 06:45:00'    2849.601                1797.895
'2015-07-03 07:00:00'    2410.500                2514.975
'2015-07-03 07:15:00'    2290.228                2696.922
'2015-07-03 07:30:00'    2177.423                2969.434
'2015-07-03 07:45:00'    2002.182                3460.275
'2015-07-03 08:00:00'    1843.500                3661.443
'2015-07-03 08:15:00'    2271.489                3254.277
'2015-07-03 08:30:00'    2749.487                2882.500
'2015-07-03 08:45:00'    3171.762                2528.702
'2015-07-03 09:00:00'    3634.500                2102.230
'2015-07-03 09:15:00'    4067.560                1858.875
'2015-07-03 09:30:00'    4516.302                1252.620
'2015-07-03 09:45:00'    4987.560                 911.638
'2015-07-03 10:00:00'    5408.000                 386.677
'2015-07-03 10:15:00'    5622.742                   1.656
'2015-07-03 10:30:00'    5700.800     115.080            
'2015-07-03 10:45:00'    5729.106     363.824            
'2015-07-03 11:00:00'    5736.730     485.270            
'2015-07-03 11:15:00'    5574.899     734.905            
'2015-07-03 11:30:00'    5529.375     615.657            
'2015-07-03 11:45:00'    5350.960     892.337            
'2015-07-03 12:00:00'    5389.050     801.450            
'2015-07-03 12:15:00'    5232.017    1117.301            
'2015-07-03 12:30:00'    5350.046    1221.542            
'2015-07-03 12:45:00'    5258.365    1416.654            
'2015-07-03 13:00:00'    5331.103    1497.897            
'2015-07-03 13:15:00'    5374.210    1443.518            
'2015-07-03 13:30:00'    5308.254    1440.809            
'2015-07-03 13:45:00'    5304.083    1345.642            
'2015-07-03 14:00:00'    5215.209    1442.791            
'2015-07-03 14:15:00'    5405.396     828.431            
'2015-07-03 14:30:00'    5226.135     791.645            
'2015-07-03 14:45:00'    5167.715     409.541            
'2015-07-03 15:00:00'    5099.316     243.684            
'2015-07-03 15:15:00'    5024.530     221.604            
'2015-07-03 15:30:00'    5120.615                  22.878
'2015-07-03 15:45:00'    4919.674                 300.813
'2015-07-03 16:00:00'    4785.000                 430.209
'2015-07-03 16:15:00'    4554.285                 846.943
'2015-07-03 16:30:00'    4661.054                 542.934
'2015-07-03 16:45:00'    4550.908                 708.522
'2015-07-03 17:00:00'    4435.500                 895.603
'2015-07-03 17:15:00'    4509.309                 992.407
'2015-07-03 17:30:00'    4762.475                 910.323
'2015-07-03 17:45:00'    4731.612                 734.014
'2015-07-03 18:00:00'    4922.000                 640.890
'2015-07-03 18:15:00'    5034.731                 462.544
'2015-07-03 18:30:00'    5228.770                 333.577
'2015-07-03 18:45:00'    5194.155                 417.475
'2015-07-03 19:00:00'    5493.500                 185.283
'2015-07-03 19:15:00'    5700.096                  52.637
'2015-07-03 19:30:00'    5729.409     100.588            
'2015-07-03 19:45:00'    5714.973     652.635            
'2015-07-03 20:00:00'    5562.890     963.110            
'2015-07-03 20:15:00'    5589.581    1223.169            
'2015-07-03 20:30:00'    5380.689    1712.136            
'2015-07-03 20:45:00'    5375.268    1845.354            
'2015-07-03 21:00:00'    5215.209    2218.791            
'2015-07-03 21:15:00'    5025.390    2735.685            
'2015-07-03 21:30:00'    4904.155    2900.365            
'2015-07-03 21:45:00'    4831.228    3408.889            
'2015-07-03 22:00:00'    4635.742    3736.258            
'2015-07-03 22:15:00'    4637.967    3591.954            
'2015-07-03 22:30:00'    4360.833    3705.184            
'2015-07-03 22:45:00'    4138.387    4243.486            
'2015-07-03 23:00:00'    4056.274    3933.726            
'2015-07-03 23:15:00'    4069.851    4073.642            
'2015-07-03 23:30:00'    3825.748    4562.359            
'2015-07-03 23:45:00'    3868.955    4635.211            
'2015-07-04 00:00:00'    3560.028    5081.972            
'2015-07-04 00:15:00'    3576.967    5154.637            
'2015-07-04 00:30:00'    3541.167    5403.144            
'2015-07-04 00:45:00'    3507.435    5225.443            
'2015-07-04 01:00:00'    3465.094    5348.906            
'2015-07-04 01:15:00'    3415.931    5280.535            
'2015-07-04 01:30:00'    3413.890    4988.553            
'2015-07-04 01:45:00'    3308.149    4701.347            
'2015-07-04 02:00:00'    3275.225    4548.775            
'2015-07-04 02:15:00'    3156.660    4737.695            
'2015-07-04 02:30:00'    3320.822    4437.801            
'2015-07-04 02:45:00'    3028.455    4538.846            
'2015-07-04 03:00:00'    3132.824    4365.176            
'2015-07-04 03:15:00'    3240.537    4136.736            
'2015-07-04 03:30:00'    3159.392    4216.206            
'2015-07-04 03:45:00'    3069.408    4164.576            
'2015-07-04 04:00:00'    3085.357    3940.643            
'2015-07-04 04:15:00'    3066.362    3878.054            
'2015-07-04 04:30:00'    3143.179    3761.525            
'2015-07-04 04:45:00'    3088.663    3630.905            
'2015-07-04 05:00:00'    3085.357    3550.643            
'2015-07-04 05:15:00'    3153.143    3302.830            
'2015-07-04 05:30:00'    3194.032    3341.455            
'2015-07-04 05:45:00'    3270.050    3210.047            
'2015-07-04 06:00:00'    3227.758    3199.242            
'2015-07-04 06:15:00'    3292.117    2684.006            
'2015-07-04 06:30:00'    3361.990    2362.315            
'2015-07-04 06:45:00'    3405.859    1981.322            
'2015-07-04 07:00:00'    3512.561    1431.439            
'2015-07-04 07:15:00'    3710.884     898.044            
'2015-07-04 07:30:00'    3799.435     493.096            
'2015-07-04 07:45:00'    3835.352     291.679            
'2015-07-04 08:00:00'    3866.500                  73.264
'2015-07-04 08:15:00'    4011.712                  71.158
'2015-07-04 08:30:00'    4031.702     128.024            
'2015-07-04 08:45:00'    4194.762     125.010            
'2015-07-04 09:00:00'    4224.566     195.934            
'2015-07-04 09:15:00'    4418.220     187.018            
'2015-07-04 09:30:00'    4473.287      72.515            
'2015-07-04 09:45:00'    4296.301     342.223            
'2015-07-04 10:00:00'    4366.967     502.533            
'2015-07-04 10:15:00'    4363.730     368.159            
'2015-07-04 10:30:00'    4427.473      55.628            
'2015-07-04 10:45:00'    4380.062                  12.863
'2015-07-04 11:00:00'    4329.000                 132.901
'2015-07-04 11:15:00'    4107.292                 370.317
'2015-07-04 11:30:00'    4014.013                 476.582
'2015-07-04 11:45:00'    3872.104                 524.289
'2015-07-04 12:00:00'    3772.500                 547.000
'2015-07-04 12:15:00'    3932.201                 434.529
'2015-07-04 12:30:00'    3916.757                 309.337
'2015-07-04 12:45:00'    4047.479                 248.767
'2015-07-04 13:00:00'    4026.500                 245.533
'2015-07-04 13:15:00'    4041.026                 296.517
'2015-07-04 13:30:00'    4001.412                 213.150
'2015-07-04 13:45:00'    3800.136                 523.314
'2015-07-04 14:00:00'    3768.000                 504.033
'2015-07-04 14:15:00'    3668.401                 480.407
'2015-07-04 14:30:00'    3632.312                 408.470
'2015-07-04 14:45:00'    3584.729                 410.099
'2015-07-04 15:00:00'    3565.000                 517.165
'2015-07-04 15:15:00'    3366.722                 807.568
'2015-07-04 15:30:00'    3279.508                 725.326
'2015-07-04 15:45:00'    3331.669                 645.939
'2015-07-04 16:00:00'    3170.500                 864.198
'2015-07-04 16:15:00'    2963.527                1102.735
'2015-07-04 16:30:00'    2934.261                1263.036
'2015-07-04 16:45:00'    2681.401                1333.493
'2015-07-04 17:00:00'    2532.500                1644.599
'2015-07-04 17:15:00'    2564.689                1606.882
'2015-07-04 17:30:00'    2618.798                1672.071
'2015-07-04 17:45:00'    2699.850                1678.038
'2015-07-04 18:00:00'    2731.500                1635.467
'2015-07-04 18:15:00'    2384.827                2033.786
'2015-07-04 18:30:00'    2216.478                2394.077
'2015-07-04 18:45:00'    2021.196                2602.693
'2015-07-04 19:00:00'    1743.500                3003.203
'2015-07-04 19:15:00'    1829.802                2863.287
'2015-07-04 19:30:00'    1774.736                2889.602
'2015-07-04 19:45:00'    1864.212                2892.184
'2015-07-04 20:00:00'    1901.000                2703.302
'2015-07-04 20:15:00'    2040.359                2554.049
'2015-07-04 20:30:00'    2234.043                2373.052
'2015-07-04 20:45:00'    2493.760                2159.904
'2015-07-04 21:00:00'    2626.000                1883.368
'2015-07-04 21:15:00'    2663.100                1934.926
'2015-07-04 21:30:00'    2565.117                1842.189
'2015-07-04 21:45:00'    2530.579                1806.136
'2015-07-04 22:00:00'    2566.000                1706.033
'2015-07-04 22:15:00'    2540.966                1570.045
'2015-07-04 22:30:00'    2730.126                1465.971
'2015-07-04 22:45:00'    2798.425                1276.380
'2015-07-04 23:00:00'    2998.000                1036.698
'2015-07-04 23:15:00'    3054.590                 804.966
'2015-07-04 23:30:00'    3015.725                 885.650
'2015-07-04 23:45:00'    3211.762                 444.504
'2015-07-05 00:00:00'    3208.000                 259.559
'2015-07-05 00:15:00'    3214.162                 307.047
'2015-07-05 00:30:00'    3198.211                 162.636
'2015-07-05 00:45:00'    3421.366      45.860            
'2015-07-05 01:00:00'    3375.091      16.909            
'2015-07-05 01:15:00'    3359.902                   2.931
'2015-07-05 01:30:00'    3319.007      14.731            
'2015-07-05 01:45:00'    3142.671     243.054            
'2015-07-05 02:00:00'    3190.155     153.845            
'2015-07-05 02:15:00'    3183.989     401.071            
'2015-07-05 02:30:00'    3145.327     379.272            
'2015-07-05 02:45:00'    3036.927     588.987            
'2015-07-05 03:00:00'    3051.452     820.548            
'2015-07-05 03:15:00'    3072.227     867.472            
'2015-07-05 03:30:00'    3024.847     933.819            
'2015-07-05 03:45:00'    2901.772    1206.038            
'2015-07-05 04:00:00'    3005.218    1246.782            
'2015-07-05 04:15:00'    3011.067    1146.083            
'2015-07-05 04:30:00'    2861.822    1232.476            
'2015-07-05 04:45:00'    2887.948    1126.273            
'2015-07-05 05:00:00'    3005.218     956.782            
'2015-07-05 05:15:00'    3185.951     598.916            
'2015-07-05 05:30:00'    2988.790     687.255            
'2015-07-05 05:45:00'    3016.758     466.630            
'2015-07-05 06:00:00'    3143.921     103.079            
'2015-07-05 06:15:00'    3081.566                 132.847
'2015-07-05 06:30:00'    2895.869                 471.077
'2015-07-05 06:45:00'    2776.812                 621.334
'2015-07-05 07:00:00'    2626.000                 795.325
'2015-07-05 07:15:00'    2649.775                 817.966
'2015-07-05 07:30:00'    2555.225                 995.411
'2015-07-05 07:45:00'    2528.004                1275.137
'2015-07-05 08:00:00'    2609.500                1227.932
'2015-07-05 08:15:00'    2901.327                1035.855
'2015-07-05 08:30:00'    3121.775                 835.563
'2015-07-05 08:45:00'    3369.497                 689.209
'2015-07-05 09:00:00'    3661.500                 453.337
'2015-07-05 09:15:00'    3643.948                 568.816
'2015-07-05 09:30:00'    3485.354                 815.486
'2015-07-05 09:45:00'    3364.844                 693.640
'2015-07-05 10:00:00'    3290.500                 963.039
'2015-07-05 10:15:00'    3549.766                 585.803
'2015-07-05 10:30:00'    3824.932                 608.974
'2015-07-05 10:45:00'    4042.499                 194.491
'2015-07-05 11:00:00'    4290.500                  55.508
'2015-07-05 11:15:00'    4297.105     773.417            
'2015-07-05 11:30:00'    4189.314    1605.485            
'2015-07-05 11:45:00'    4279.006    2188.975            
'2015-07-05 12:00:00'    4207.305    2887.695            
'2015-07-05 12:15:00'    4236.827    3015.473            
'2015-07-05 12:30:00'    4077.024    3142.453            
'2015-07-05 12:45:00'    4208.805    3364.155            
'2015-07-05 13:00:00'    4161.071    3540.429            
'2015-07-05 13:15:00'    4221.927    3475.488            
'2015-07-05 13:30:00'    4145.137    3481.302            
'2015-07-05 13:45:00'    4067.251    3802.160            
'2015-07-05 14:00:00'    4161.071    3678.929            
'2015-07-05 14:15:00'    4080.132    3555.797            
'2015-07-05 14:30:00'    3972.619    3204.487            
'2015-07-05 14:45:00'    4052.285    2766.124            
'2015-07-05 15:00:00'    3976.135    2652.365            
'2015-07-05 15:15:00'    4081.997    2092.306            
'2015-07-05 15:30:00'    3882.846    1605.985            
'2015-07-05 15:45:00'    3954.952    1083.441            
'2015-07-05 16:00:00'    3929.901     544.099            
'2015-07-05 16:15:00'    4030.581     104.411            
'2015-07-05 16:30:00'    3856.429                 262.378
'2015-07-05 16:45:00'    3623.002                 547.070
'2015-07-05 17:00:00'    3350.000                 718.603
'2015-07-05 17:15:00'    3189.212                 844.144
'2015-07-05 17:30:00'    3000.705                1127.312
'2015-07-05 17:45:00'    2901.979                1455.389
'2015-07-05 18:00:00'    2674.000                1579.539
'2015-07-05 18:15:00'    2949.835                1354.301
'2015-07-05 18:30:00'    3271.895                1136.490
'2015-07-05 18:45:00'    3561.612                 955.076
'2015-07-05 19:00:00'    3834.000                 789.412
'2015-07-05 19:15:00'    4428.520                 205.180
'2015-07-05 19:30:00'    4469.520     541.230            
'2015-07-05 19:45:00'    4412.147    1113.920            
'2015-07-05 20:00:00'    4484.710    1637.290            
'2015-07-05 20:15:00'    4485.494    2037.803            
'2015-07-05 20:30:00'    4374.305    2269.662            
'2015-07-05 20:45:00'    4466.178    2470.706            
'2015-07-05 21:00:00'    4392.242    2997.758            
'2015-07-05 21:15:00'    4281.334    3248.244            
'2015-07-05 21:30:00'    4290.831    2842.919            
'2015-07-05 21:45:00'    4235.228    2741.140            
'2015-07-05 22:00:00'    4161.071    2844.929            
'2015-07-05 22:15:00'    4097.008    3210.307            
'2015-07-05 22:30:00'    4098.839    4198.605            
'2015-07-05 22:45:00'    4066.565    4742.315            
'2015-07-05 23:00:00'    3929.901    5262.099            
'2015-07-05 23:15:00'    3731.970    5566.005            
'2015-07-05 23:30:00'    3616.933    5371.816            
'2015-07-05 23:45:00'    3562.141    5223.608            
'2015-07-06 00:00:00'    3611.810    4890.190            
    ;


